 Box  ;  Num  ;  Dat. Ent  ;   ;  Naiss  ;   ;  Stér  ;  Race  ;  Couleur  ;  Nom  ;  Identification  ;  2nd V 
R405  ;  085309  ;  11/01/2020  ;   ;  01/2014 (6 a)  ;  M  ;  X  ;  X AKITA AMERICAIN  ;  NOIR ET BLANC  ;  TAO  ;  606090147  ;   
R406  ;  085299  ;  09/01/2020  ;   ;  11/2017 (2 a)  ;  M  ;  X  ;  X GRIFFON KORTHAL  ;  NOIR ET BLANC  ;  BOSCO  ;  732192145  ;  09/05/2019  
R407  ;  085123  ;  09/12/2019  ;   ;  04/2009 (10 a)  ;  M  ;  X  ;  BERGER DE BEAUCE  ;  NOIR ET FEU  ;  JACK  ;  500262918  ;  12/10/2019  
R408  ;  084866  ;  24/10/2019  ;   ;  10/2016 (3 a)  ;  M  ;  X  ;  X DOGUE  ;  FAUVE & BLANC  ;  MURPHY  ;  812084551  ;  05/11/2019  
R410  ;  085147  ;  12/12/2019  ;   ;  03/2011 (8 a)  ;  F  ;  X  ;  PITBULL  ;  BRINGE & BLEU & BLANC  ;  GEISHA  ;  731020202  ;  03/01/2020  
R411  ;  083954  ;  20/06/2019  ;   ;  11/2014 (5 a)  ;  M  ;  X  ;  PITBULL  ;  NOIR  ;  TYE  ;  606558989  ;  09/07/2019  
R412  ;  084185  ;  22/07/2019  ;   ;  07/2018 (1 a)  ;  M  ;  X  ;  PITBULL  ;  NOIR ET BLANC  ;  ARROW  ;  732579116  ;  09/08/2019  
R413  ;  083701  ;  30/04/2019  ;   ;  04/2017 (2 a)  ;  M  ;  X  ;  PITBULL  ;  NOIR ET BLANC  ;  DOOGGY  ;  732578930  ;  17/05/2019  
R414  ;  085228  ;  28/12/2019  ;   ;  12/2017 (2 a)  ;  F  ;  X  ;  AMERICAIN BULLY  ;  FAUVE  ;  INAYA  ;  811375114  ;  31/01/2020  
R501  ;  083017  ;  26/11/2018  ;   ;  12/2016 (3 a)  ;  M  ;  X  ;  PITBULL  ;  FAUVE & BLANC  ;  SLAM  ;  732448639  ;  20/12/2019  
R502  ;  083018  ;  26/11/2018  ;   ;  12/2016 (3 a)  ;  M  ;  X  ;  PITBULL  ;  NOIR ET BLANC  ;  ENOX  ;  732448688  ;  20/12/2019  
R503  ;  085098  ;  04/12/2019  ;   ;  12/2018 (1 a)  ;  F  ;  X  ;  PITBULL  ;  FAUVE  ;  ULINE  ;  743141209  ;  31/12/2019  
R504  ;  083847  ;  03/06/2019  ;   ;  12/2009 (10 a)  ;  M  ;  X  ;  STAFFORDSHIRE TERRIE  ;  BLANC & GRIS  ;  E TINO  ;  802037260  ;  25/06/2019  
R505  ;  084888  ;  26/10/2019  ;   ;  04/2016 (3 a)  ;  M  ;  X  ;  STAFFORDSHIRE TERRIE  ;  FAUVE & BLANC  ;  MOKA DIT MEIKO  ;  731452679  ;  19/11/2019  
R506  ;  083376  ;  13/02/2019  ;   ;  09/2016 (3 a)  ;  M  ;  X  ;  PITBULL  ;  NOIR ET BLANC  ;  TYSON  ;  501217962  ;  08/03/2019  
R507  ;  083294  ;  24/01/2019  ;  AB  ;  05/2017 (2 a)  ;  M  ;  X  ;  STAFFORDSHIRE TERRIE  ;  NOIR ET BLANC  ;  NACHOS DE L IMPREINTE DE GOLIA  ;  811381926  ;  30/07/2019  
R508  ;  084787  ;  13/10/2019  ;   ;  12/2014 (5 a)  ;  M  ;  X  ;  STAFFORDSHIRE TERRIE  ;  NOIR ET BLANC  ;  JOE DIT SULTAN  ;  606380724  ;  07/05/2019  
R509  ;  079842  ;  10/06/2017  ;   ;  08/2013 (6 a)  ;  M  ;  X  ;  PITBULL  ;  GRIS ET BLANC  ;  ROCKY  ;  711025363  ;  11/10/2019  
R510  ;  085300  ;  09/01/2020  ;   ;  07/2014 (5 a)  ;  M  ;  X  ;  PITBULL  ;  BLEU & BLANC  ;  BOSS  ;  732645334  ;  23/07/2019  
R511  ;  085408  ;  31/01/2020  ;   ;  11/2007 (12 a)  ;  M  ;  X  ;  X STAFFIE  ;  NOIR ET BLANC  ;  PICSOU  ;  500048691  ;  11/01/2019  
R512  ;  083893  ;  11/06/2019  ;   ;  06/2018 (1 a)  ;  M  ;  X  ;  PITBULL  ;  NOIR & BRINGE  ;  OWEN  ;  732645184  ;  05/07/2019  
R513  ;  085031  ;  20/11/2019  ;   ;  11/2018 (1 a)  ;  M  ;  X  ;  PITBULL  ;  MARRON ET BLANC  ;  MUJDAT  ;  743104287  ;  03/12/2019  
R514  ;  079723  ;  20/05/2017  ;   ;  02/2014 (6 a)  ;  F  ;  X  ;  X TERRIER  ;  BRINGE & BLANC  ;  MACHA  ;  731559255  ;  15/02/2019  
R601  ;  084460  ;  28/08/2019  ;   ;  09/2015 (4 a)  ;  M  ;  X  ;  X MALINOIS  ;  BICOLORE & FAUVE & BLANC  ;  PRINCE  ;  743019646  ;  27/08/2019  
R602  ;  083344  ;  05/02/2019  ;   ;  01/2017 (3 a)  ;  M  ;  X  ;  X GROENENDAEL  ;  NOIR  ;  JAGGER  ;  732137576  ;  14/01/2020  
R603  ;  085213  ;  26/12/2019  ;   ;  11/2018 (1 a)  ;  F  ;  X  ;  X DOGUE ARGENTIN  ;  NOIR ET BLANC  ;  KIARA  ;  501631093  ;  31/01/2020  
R604  ;  083597  ;  05/04/2019  ;   ;  09/2014 (5 a)  ;  M  ;  X  ;  EPAGNEUL BRETON  ;  BICOLORE & NOIR ET BLANC  ;  PETIT  ;  732033195  ;  11/10/2019  
R605  ;  084130  ;  15/07/2019  ;   ;  07/2007 (12 a)  ;  M  ;  X  ;  TY COCKER  ;  NOIR ET BLANC  ;  CHARLY  ;  602218702  ;  02/08/2019  
R606  ;  084707  ;  03/10/2019  ;   ;  01/2015 (5 a)  ;  F  ;  X  ;  XBERGER BELGE MALINO  ;  FAUVE & CHARBONNEE & NOIR  ;  GOLF  ;  501080512  ;  25/10/2019  
R608  ;  084751  ;  09/10/2019  ;   ;  12/2016 (3 a)  ;  F  ;  X  ;  X BERGER  ;  NOIR  ;  NAYA  ;  743105653  ;  03/12/2019  
